,Unnamed: 0,incident_control,incident_containment,incident_acres_burned,incident_name,calfire_incident,is_active,incident_id,incident_type,County,data_id
1121,1121,,100.0,290.0,South Fire,True,N,a1e73f5c-68e2-4109-b741-046eb7349265,,Calaveras,Calaveras-2018-08
1122,1122,,100.0,117.0,Murphy Fire,False,N,b9f703f7-18bb-4845-a480-ce7d63b5f57a,,Plumas,Plumas-2018-08
1123,1123,,100.0,2995.0,Five Fire,False,N,0ba9a90d-6615-4fa8-9a10-3efb660437ca,,Kings,Kings-2018-08
1124,1124,,100.0,45.0,Bridge Fire,False,N,49232e73-c3ba-4dc3-b673-b973a918fa7c,,Marin,Marin-1969-12
1125,1125,,100.0,114.0,Pine Fire,True,N,471980a3-9ffb-4b1f-8e51-eabb9736b51b,,Kern,Kern-2018-08
1126,1126,,100.0,46150.0,Hirz Fire,False,N,cb647b06-1772-4d65-8087-0b841fcfb502,,Shasta,Shasta-2018-08
1127,1127,,100.0,23.0,Land Fire,True,N,f81830b2-ece2-4f59-87c7-fd43193bd996,,Riverside,Riverside-2018-08
1128,1128,,100.0,250.0,Rangeland Fire,True,N,8dddf572-84de-4b20-b740-f5c7847cec3b,,San Diego,San Diego-2018-08
1129,1129,,100.0,1900.0,Hat Fire,True,N,ce93c72c-eb9c-4176-a2b6-7750a4a6bb20,,Shasta,Shasta-2018-08
1130,1130,,100.0,10.0,Syar Fire,True,N,1bdf7030-adc6-442f-ab31-d182e53b4a73,,Napa,Napa-2018-08
1131,1131,,100.0,30.0,Alhambra Fire,False,N,f012f0ea-4102-47dc-9c6d-609ebac85142,,Contra Costa,Contra Costa-2018-08
1132,1132,,100.0,2490.0,Snell Fire,True,N,db2344ac-f195-4f94-8999-e8c8ebb4a7a2,,Napa,Napa-2018-09
1133,1133,Peabody Road (between Foxboro Road and Chuck Hammond Drive),100.0,2162.0,Nelson Fire,True,N,2ce8de99-7e66-4de8-9426-48a4fc8500ac,,Solano,Solano-2018-08
1134,1134,,100.0,34.0,Marcel Fire,True,N,b03ec37e-8596-4e7e-8826-729957a794f8,,Kern,Kern-2018-08
1135,1135,,100.0,16.0,Oak Fire,True,N,b2695350-87ea-49f4-a579-ce0c4cf7f926,,Nevada,Nevada-2018-08
1136,1136,,100.0,100.0,Cloverdale Fire,False,N,791a3a00-2c51-4679-b4b7-27cc77ec699d,,San Diego,San Diego-2018-08
1137,1137,,100.0,650.0,Gulch Fire,True,N,3bb731cc-eb21-421f-b5f5-4949346dc316,,Monterey,Monterey-2018-08
1138,1138,,100.0,668.0,River Fire,True,N,b83feee5-a799-4481-bd25-1d4cc3befd7d,,Kern,Kern-2018-08
1139,1139,,100.0,39387.0,Stone Fire,False,N,58e6dde2-eeae-4a9e-be1e-bfd654d4405b,,Modoc,Modoc-2018-08
1140,1140,,100.0,48.0,Castro Fire,True,N,a2fbfcae-d658-41f4-88c6-98239d08ff29,,Alameda,Alameda-2018-08
1141,1141,,100.0,367.0,Call Fire,False,N,5eab06a3-5deb-4934-98a7-7c42eb86cbf9,,Kern,Kern-2018-08
1142,1142,,100.0,155.0,Gorge Fire,True,N,5dbbbc9f-deec-4c33-a172-19614492d860,,Shasta,Shasta-2018-08
1143,1143,,100.0,1014.0,Front Fire,False,N,8dd81979-48ba-48db-bb24-e4f1bf85d262,,San Luis Obispo,San Luis Obispo-2018-08
1144,1144,,100.0,10.0,Keller Fire,True,N,23f8d2d9-0e9e-4f07-b830-8c02cf74b5d0,,Riverside,Riverside-2018-08
1145,1145,,100.0,289.0,Eastman Fire,True,N,eeb859ef-dc44-48e2-a2d7-dce44bc47d01,,Madera,Madera-2018-08
1146,1146,,100.0,32.0,Country Fire,True,N,2bdeaf01-fe98-4f63-b2e8-4857815bc87c,,Riverside,Riverside-2018-08
1147,1147,,100.0,88.0,Redinger Fire,False,N,f6555118-f01e-4524-a14d-e01303a482db,,Madera,Madera-2018-08
1148,1148,,100.0,103.0,Cache Fire,True,N,ef9c8f82-8607-4c53-9bdd-5196e6a1071c,,Lake,Lake-2018-08
