,incident_latitude,incident_longitude,incident_dateonly_created,incident_control,incident_containment,incident_acres_burned,incident_county,incident_name,calfire_incident,is_active,incident_id,incident_type,County
1119,33.698879999999996,-117.52055,2018-08-06,,100.0,23136.0,Orange,Holy Fire,False,N,5b9e5ea7-1f63-46dd-aabd-8cf407c6f4ba,Wildfire,Orange
1120,33.759722,-117.460278,2018-08-06,,100.0,35.0,Riverside,Terra Fire,True,N,dd114f40-6fcb-487b-931e-7a9107371daa,,Riverside
1121,38.061298,-120.872244,2018-08-06,,100.0,290.0,Calaveras,South Fire,True,N,a1e73f5c-68e2-4109-b741-046eb7349265,,Calaveras
1122,39.996944,-121.27,2018-08-07,,100.0,117.0,Plumas,Murphy Fire,False,N,b9f703f7-18bb-4845-a480-ce7d63b5f57a,,Plumas
1123,35.97896,-119.98329,2018-08-06,,100.0,2995.0,Kings,Five Fire,False,N,0ba9a90d-6615-4fa8-9a10-3efb660437ca,,Kings
1124,38.07135,-122.76751000000002,1969-12-31,,100.0,45.0,Marin,Bridge Fire,False,N,49232e73-c3ba-4dc3-b673-b973a918fa7c,,Marin
1125,35.56888889,-118.80138889,2018-08-16,,100.0,114.0,Kern,Pine Fire,True,N,471980a3-9ffb-4b1f-8e51-eabb9736b51b,,Kern
1126,40.896,-122.219,2018-08-09,,100.0,46150.0,Shasta,Hirz Fire,False,N,cb647b06-1772-4d65-8087-0b841fcfb502,,Shasta
1127,33.946896,-117.066643,2018-08-22,,100.0,23.0,Riverside,Land Fire,True,N,f81830b2-ece2-4f59-87c7-fd43193bd996,,Riverside
1128,33.076239,-116.90298500000002,2018-08-09,,100.0,250.0,San Diego,Rangeland Fire,True,N,8dddf572-84de-4b20-b740-f5c7847cec3b,,San Diego
1129,40.99344,-121.52225,2018-08-09,,100.0,1900.0,Shasta,Hat Fire,True,N,ce93c72c-eb9c-4176-a2b6-7750a4a6bb20,,Shasta
1130,38.272290000000005,-122.26388999999999,2018-08-09,,100.0,10.0,Napa,Syar Fire,True,N,1bdf7030-adc6-442f-ab31-d182e53b4a73,,Napa
1131,37.996179999999995,-122.14097,2018-08-17,,100.0,30.0,Contra Costa,Alhambra Fire,False,N,f012f0ea-4102-47dc-9c6d-609ebac85142,,Contra Costa
1132,38.69601,-122.44468,2018-09-08,,100.0,2490.0,Napa,Snell Fire,True,N,db2344ac-f195-4f94-8999-e8c8ebb4a7a2,,Napa
1133,38.431278000000006,-122.043747,2018-08-10,Peabody Road (between Foxboro Road and Chuck Hammond Drive),100.0,2162.0,Solano,Nelson Fire,True,N,2ce8de99-7e66-4de8-9426-48a4fc8500ac,,Solano
1134,35.17156,-118.51651000000001,2018-08-17,,100.0,34.0,Kern,Marcel Fire,True,N,b03ec37e-8596-4e7e-8826-729957a794f8,,Kern
1135,39.10494,-121.07038999999999,2018-08-12,,100.0,16.0,Nevada,Oak Fire,True,N,b2695350-87ea-49f4-a579-ce0c4cf7f926,,Nevada
1136,33.0971179,-117.02425290000001,2018-08-13,,100.0,100.0,San Diego,Cloverdale Fire,False,N,791a3a00-2c51-4679-b4b7-27cc77ec699d,,San Diego
1137,36.00912,-120.82226000000001,2018-08-11,,100.0,650.0,Monterey,Gulch Fire,True,N,3bb731cc-eb21-421f-b5f5-4949346dc316,,Monterey
1138,35.79012,-118.7393,2018-08-15,,100.0,668.0,Tulare,River Fire,True,N,b83feee5-a799-4481-bd25-1d4cc3befd7d,,Kern
1139,41.38544,-121.04386000000001,2018-08-15,,100.0,39387.0,Modoc,Stone Fire,False,N,58e6dde2-eeae-4a9e-be1e-bfd654d4405b,,Modoc
1140,37.699259999999995,-122.02805,2018-08-26,,100.0,48.0,Alameda,Castro Fire,True,N,a2fbfcae-d658-41f4-88c6-98239d08ff29,,Alameda
1141,35.51777778,-118.6525,2018-08-18,,100.0,367.0,Kern,Call Fire,False,N,5eab06a3-5deb-4934-98a7-7c42eb86cbf9,,Kern
1142,40.36888889,-122.89055556,2018-08-19,,100.0,155.0,Shasta,Gorge Fire,True,N,5dbbbc9f-deec-4c33-a172-19614492d860,,Shasta
1143,35.11416667,-120.09222222,2018-08-19,,100.0,1014.0,Santa Barbara,Front Fire,False,N,8dd81979-48ba-48db-bb24-e4f1bf85d262,,San Luis Obispo
1144,33.627006,-117.17173100000001,2018-08-19,,100.0,10.0,Riverside,Keller Fire,True,N,23f8d2d9-0e9e-4f07-b830-8c02cf74b5d0,,Riverside
1145,37.197039000000004,-120.002619,2018-08-23,,100.0,289.0,Madera,Eastman Fire,True,N,eeb859ef-dc44-48e2-a2d7-dce44bc47d01,,Madera
1146,33.97902,-117.20533999999999,2018-08-25,,100.0,32.0,Riverside,Country Fire,True,N,2bdeaf01-fe98-4f63-b2e8-4857815bc87c,,Riverside
1147,37.179167,-119.43166699999999,2018-08-27,,100.0,88.0,Madera,Redinger Fire,False,N,f6555118-f01e-4524-a14d-e01303a482db,,Madera
1148,39.02017,-122.57496,2018-08-26,,100.0,103.0,Lake,Cache Fire,True,N,ef9c8f82-8607-4c53-9bdd-5196e6a1071c,,Lake
