,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Amador-2020-09,38.49375,-121.003602,2020-09,20.34666666666666,3.6103333333333327,0.03933333333333334,0.7390000000000001,100901.12433333333,24.62,Amador,38.82219893185666,-119.85813275145854,True,09,2020
Amador-2020-10,38.424016,-121.006635,2020-10,16.865806451612904,4.016774193548385,0.10741935483870968,0.7835483870967742,101122.60677419355,19.732903225806453,Amador,39.02555440488244,-120.01517010248021,True,10,2020
Butte-2013-06,39.709341499999994,-121.575752,2013-06,28.69866666666667,1.2286666666666666,0.19866666666666666,0.7786666666666666,100521.28666666668,40.44666666666667,Butte,40.28883329558111,-121.31773935339278,True,06,2013
Butte-2013-07,39.944575,-121.65918500000001,2013-07,28.030322580645162,1.0512903225806454,0.16290322580645156,0.7803225806451615,100604.87903225805,39.14161290322581,Butte,40.29847515991798,-121.3443370622718,True,07,2013
Butte-2013-08,39.61311533333333,-121.53327933333333,2013-08,27.856451612903232,1.1341935483870969,0.17354838709677414,0.77,100678.68032258062,38.56935483870967,Butte,40.53911975879923,-122.4160801246909,True,08,2013
Butte-2013-10,39.439,-121.497,2013-10,26.74483870967741,1.135483870967742,0.5193548387096775,0.8464516129032258,100834.83870967742,37.94967741935484,Butte,39.90368162361894,-121.94368482666033,True,10,2013
Butte-2014-07,39.4664,-121.6129,2014-07,28.67612903225807,0.9370967741935482,0.15290322580645166,0.7767741935483872,100656.88322580646,40.35903225806452,Butte,39.5140005690575,-121.75009249744667,True,07,2014
Butte-2015-07,39.43963,-121.38794,2015-07,27.999032258064517,1.1225806451612903,0.25677419354838704,0.8209677419354836,100720.92612903225,39.95677419354839,Butte,39.07396156712763,-120.96964172699515,True,07,2015
Butte-2015-09,32.9709,-121.16815,2015-09,27.674999999999994,0.8276666666666664,0.2993333333333333,0.8213333333333334,100817.07400000001,39.313,Butte,39.32017937661693,-120.87767607682278,True,09,2015
Butte-2015-10,39.8707,-121.8938,2015-10,27.57645161290323,0.74,0.3274193548387097,0.8303225806451614,100875.88096774195,39.30096774193548,Butte,39.09383704213665,-122.52245218569489,True,10,2015
