,month,year,County,size
980,11,2020,Modoc,1
981,11,2020,Riverside,1
982,12,1969,Marin,1
983,12,1969,Merced,1
984,12,2013,Santa Clara,1
985,12,2015,Ventura,1
986,12,2017,Los Angeles,3
987,12,2017,Nevada,1
988,12,2017,Riverside,4
989,12,2017,San Bernardino,2
990,12,2017,San Diego,1
991,12,2017,Santa Barbara,2
992,12,2017,Ventura,1
993,12,2020,Butte,1
994,12,2020,Modoc,1
995,12,2020,Orange,1
996,12,2020,Riverside,2
997,12,2020,San Diego,1
998,12,2020,Ventura,1
